destino,veinte,cuarenta,port_code,source
San Antonio (CLSAI),3950.0,4500,CLSAI,FCL
San jose CR (CRSJO),4400.0,5000,CRSJO,FCL
San Juan (PRSJU),4400.0,5000,PRSJU,FCL
Santiago (CLSCL),4700.0,5200,CLSCL,FCL
Santo Domingo (DOSDQ),4000.0,4400,DOSDQ,FCL
Santos (BRSSZ),1650.0,1900,BRSSZ,FCL
Saskatoon,7200.0,8350,,FCL
Savannah (USSAV),5000.0,5400,USSAV,FCL
Seatlle (USSEA),5550.0,7100,USSEA,FCL
Shanghai - CNSHA,2200.0,2400,CNSHA,FCL
Shuwaikh Port - KWSWK,5200.0,6750,KWSWK,FCL
Sines (PTSIE),2800.0,2850,PTSIE,FCL
Singapore - SGSIN,1850.0,2100,SGSIN,FCL
Soedertaelje (SESOE),3400.0,4600,SESOE,FCL
Sohar - OMSOH,2000.0,2500,OMSOH,FCL
Southampton (GBSOU),2550.0,2900,GBSOU,FCL
Suape (BRSUA),2100.0,2270,BRSUA,FCL
Sydney (AUSYD),2350.0,2450,AUSYD,FCL
Tacoma (USTIW),9350.0,9950,USTIW,FCL
Tanger (MAPTM),2550.0,2950,MAPTM,FCL
Tegucigalpa (HNTGU),5600.0,6150,HNTGU,FCL
Thessaloniki (GRSKG),3100.0,4250,GRSKG,FCL
Thessaloniki (GRSKG),2550.0,3050,GRSKG,FCL
Tianjin - CNTXG,2150.0,2300,CNTXG,FCL
Toronto (CATOR),6250.0,6650,CATOR,FCL
Tunes (Tunis) - TUTUN,2300.0,3800,TUTUN,FCL
Valencia (ESVLC),2000.0,2450,ESVLC,FCL
Vancouver (CAVAN),5950.0,6450,CAVAN,FCL
Vancouver (CAVAN),5550.0,7050,CAVAN,FCL
Venezia (ITVCE),2280.0,2750,ITVCE,FCL
Veracruz (MXVER),3600.0,4100,MXVER,FCL
Vienna (ATVIE),2750.0,3250,ATVIE,FCL
Vigo (ESVGO),3100.0,3450,ESVGO,FCL
Willemstad (CWWIL),6900.0,8250,CWWIL,FCL
Winnipeg,7450.0,8700,,FCL
Yokohama - JPYOK,2150.0,2300,JPYOK,FCL
Zurich (CHZRH),3200.0,3600,CHZRH,FCL
