destino,veinte,cuarenta,port_code,source
Singapore - SGSIN,1270.0,1330.0,SGSIN,EXIM
Soedertaelje (SESOE),2820.0,3830.0,SESOE,EXIM
Sohar - OMSOH,1420.0,1730.0,OMSOH,EXIM
Southampton (GBSOU),1970.0,2130.0,GBSOU,EXIM
Suape (BRSUA),1520.0,1500.0,BRSUA,EXIM
Sydney (AUSYD),1770.0,1680.0,AUSYD,EXIM
Tacoma (USTIW),8770.0,9180.0,USTIW,EXIM
Tanger (MAPTM),1970.0,2180.0,MAPTM,EXIM
Tegucigalpa (HNTGU),5020.0,5380.0,HNTGU,EXIM
Thessaloniki (GRSKG),2520.0,3480.0,GRSKG,EXIM
Thessaloniki (GRSKG),1970.0,2280.0,GRSKG,EXIM
Tianjin - CNTXG,1570.0,1530.0,CNTXG,EXIM
Toronto (CATOR),5670.0,5880.0,CATOR,EXIM
Tunes (Tunis) - TUTUN,1720.0,3030.0,TUTUN,EXIM
Valencia (ESVLC),1420.0,1680.0,ESVLC,EXIM
Vancouver (CAVAN),5370.0,5680.0,CAVAN,EXIM
Vancouver (CAVAN),4970.0,6280.0,CAVAN,EXIM
Venezia (ITVCE),1700.0,1980.0,ITVCE,EXIM
Veracruz (MXVER),3020.0,3330.0,MXVER,EXIM
Vienna (ATVIE),2170.0,2480.0,ATVIE,EXIM
Vigo (ESVGO),2520.0,2680.0,ESVGO,EXIM
Willemstad (CWWIL),6320.0,7480.0,CWWIL,EXIM
Winnipeg,6870.0,7930.0,,EXIM
"Jeddah, Arabia Saudita",4070.0,0.0,,EXIM
Zurich (CHZRH),2620.0,2830.0,CHZRH,EXIM
