destino,port_code,aires_original,fcl_original,silver_original,aires_20,aires_40,fcl_20,fcl_40,silver_20,silver_40,best_price_20,worst_price_20,price_diff_20,price_diff_20_pct,best_provider_20,best_price_40,worst_price_40,price_diff_40,price_diff_40_pct,best_provider_40,sources_available,match_type
Rotterdam (NLRTM),NLRTM,Rotterdam (NLRTM),Rotterdam (NLRTM),Rotterdam (NLRTM),1485.0,1600.0,2250.0,2300.0,2130.0,2295.0,1485.0,2250.0,765.0,51.515151515151516,AiresDS,1600.0,2300.0,700.0,43.75,AiresDS,3,exact
Keelung (TWKEL) / Keelung - TWKEL,TWKEL,Keelung (TWKEL),Keelung - TWKEL,Keelung (TWKEL),2085.0,2625.0,2200.0,2350.0,3145.0,3735.0,2085.0,3145.0,1060.0,50.83932853717026,AiresDS,2350.0,3735.0,1385.0,58.93617021276596,FCL,3,fuzzy
Southampton / Southampton (GBSOU),GBSOU,Southampton (GBSOU),Southampton (GBSOU),Southampton,2256.0,2782.0,2550.0,2900.0,3400.0,3975.0,2256.0,3400.0,1144.0,50.70921985815603,AiresDS,2782.0,3975.0,1193.0,42.88281811646298,AiresDS,3,fuzzy
Arica (CLARI),CLARI,Arica (CLARI),Arica (CLARI),Arica (CLARI),5281.0,5797.0,4250.0,4750.0,6326.0,6890.0,4250.0,6326.0,2076.0,48.84705882352941,FCL,4750.0,6890.0,2140.0,45.05263157894737,FCL,3,exact
Brisbane (AUBNE),AUBNE,Brisbane (AUBNE),Brisbane (AUBNE),Brisbane (AUBNE),2365.0,2362.0,2600.0,3200.0,3510.0,3717.0,2365.0,3510.0,1145.0,48.41437632135307,AiresDS,2362.0,3717.0,1355.0,57.366638441998305,AiresDS,3,exact
Grangemouth / Grangemouth (GBGRG),GBGRG,,Grangemouth (GBGRG),Grangemouth,,,2400.0,2850.0,3550.0,4220.0,2400.0,3550.0,1150.0,47.91666666666667,FCL,2850.0,4220.0,1370.0,48.07017543859649,FCL,2,fuzzy
Felixstowe / Felixstowe (GBFXT),GBFXT,Felixstowe (GBFXT),Felixstowe (GBFXT),Felixstowe,2456.0,3282.0,3350.0,4400.0,3610.0,4500.0,2456.0,3610.0,1154.0,46.986970684039086,AiresDS,3282.0,4500.0,1218.0,37.111517367458866,AiresDS,3,fuzzy
San Juan (PRSJU),PRSJU,San Juan (PRSJU),San Juan (PRSJU),San Juan (PRSJU),3508.0,3897.0,4400.0,5000.0,5050.0,5490.0,3508.0,5050.0,1542.0,43.95667046750285,AiresDS,3897.0,5490.0,1593.0,40.877598152424945,AiresDS,3,exact
Puerto Cortes (HNPCR) / Puerto Cortes,HNPCR,Puerto Cortes (HNPCR),,Puerto Cortes,3508.0,3897.0,,,5050.0,5490.0,3508.0,5050.0,1542.0,43.95667046750285,AiresDS,3897.0,5490.0,1593.0,40.877598152424945,AiresDS,2,fuzzy
Melbourne (AUMEL) / Melbourne,AUMEL,,Melbourne (AUMEL),Melbourne,,,2350.0,2450.0,3310.0,3560.0,2350.0,3310.0,960.0,40.85106382978723,FCL,2450.0,3560.0,1110.0,45.30612244897959,FCL,2,fuzzy
Fremantle / Fremantle (AUFRE),AUFRE,,Fremantle (AUFRE),Fremantle,,,2650.0,3100.0,3700.0,4140.0,2650.0,3700.0,1050.0,39.62264150943396,FCL,3100.0,4140.0,1040.0,33.5483870967742,FCL,2,fuzzy
Alexandria (EGALY),EGALY,Alexandria (EGALY),Alexandria (EGALY),Alexandria (EGALY),3713.0,4865.0,4850.0,6200.0,3550.0,3750.0,3550.0,4850.0,1300.0,36.61971830985916,Silver,3750.0,6200.0,2450.0,65.33333333333333,Silver,3,exact
Tauranga (NZTRG) / Tauranga,NZTRG,Tauranga (NZTRG),,Tauranga,3165.0,3412.0,,,4300.0,4600.0,3165.0,4300.0,1135.0,35.8609794628752,AiresDS,3412.0,4600.0,1188.0,34.81828839390387,AiresDS,2,fuzzy
Caucedo (DOCAU),DOCAU,Caucedo (DOCAU),Caucedo (DOCAU),Caucedo (DOCAU),4008.0,4397.0,3750.0,4250.0,5055.0,5500.0,3750.0,5055.0,1305.0,34.8,FCL,4250.0,5500.0,1250.0,29.411764705882355,FCL,3,exact
Santo Domingo / Santo Domingo (DOSDQ),DOSDQ,,Santo Domingo (DOSDQ),Santo Domingo,,,4000.0,4400.0,5390.0,5820.0,4000.0,5390.0,1390.0,34.75,FCL,4400.0,5820.0,1420.0,32.27272727272727,FCL,2,fuzzy
Manzanillo (MXZLO) (México) / Manzanillo (PAMIT),MXZLO,Manzanillo (MXZLO) (México),Manzanillo (PAMIT),Manzanillo (PAMIT),4650.0,6539.0,3750.0,4250.0,5050.0,5490.0,3750.0,5050.0,1300.0,34.66666666666667,FCL,4250.0,6539.0,2289.0,53.85882352941177,FCL,3,fuzzy
Puerto Moin (CRPMN),CRPMN,Puerto Moin (CRPMN),Puerto Moin (CRPMN),Puerto Moin (CRPMN),3045.0,3126.0,3800.0,4300.0,4100.0,4510.0,3045.0,4100.0,1055.0,34.646962233169134,AiresDS,3126.0,4510.0,1384.0,44.27383237364044,AiresDS,3,exact
Cartagena Port (COCTG),COCTG,,Cartagena Port (COCTG),Cartagena Port (COCTG),,,3600.0,4100.0,4810.0,5010.0,3600.0,4810.0,1210.0,33.611111111111114,FCL,4100.0,5010.0,910.0,22.195121951219512,FCL,2,fuzzy
